Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Bhendi yellow vein mosaic alphasatellite,NC_026947,complete,isolate:Madurai MKU-2,-,1370,1,1,land plants,05/05/2015,08/13/2018,Alphasatellitidae,Bhendi_yellow_vein_mosaic_alphasatellite
Bhendi yellow vein mosaic virus-associated alphasatellite,NC_018574,complete,isolate:BYVMVA[Okra:Ropar:2010],-,1316,1,3,land plants,09/10/2012,08/13/2018,Alphasatellitidae,Bhendi_yellow_vein_mosaic_virus-associated_alphasatellite
Bhindi yellow vein alphasatellite,NC_029313,complete,isolate:Pakistan:Lahore:Urtica dioica_2013,-,1361,1,-,land plants,03/01/2016,08/13/2018,Alphasatellitidae,Bhindi_yellow_vein_alphasatellite
Black medic leafroll alphasatellite 1,NC_023875,complete,isolate:Lerik-Xalifa_47,-,1030,1,1,land plants,04/03/2014,08/13/2018,Alphasatellitidae,Black_medic_leafroll_alphasatellite_1
Cardamom bushy dwarf alphasatellite,NC_022919,complete,-,-,1127,1,-,land plants,11/29/2013,08/13/2018,Alphasatellitidae,Cardamom_bushy_dwarf_alphasatellite
Cassava mosaic Madagascar alphasatellite,NC_018628,complete,isolate:Madagascar:Diana:635A6:2011,-,1478,1,1,land plants,09/16/2012,08/13/2018,Alphasatellitidae,Cassava_mosaic_Madagascar_alphasatellite
Chilli leaf curl India alphasatellite,NC_027431,complete,-,-,1375,1,3,land plants,06/30/2015,08/13/2018,Alphasatellitidae,Chilli_leaf_curl_India_alphasatellite
Chilli leaf curl Multan alphasatellite,NC_013103,complete,-,-,1369,1,1,land plants,02/25/2009,08/13/2018,Alphasatellitidae,Chilli_leaf_curl_Multan_alphasatellite
Chilli leaf curl alphasatellite,NC_039234,complete,-,-,1391,1,10,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Chilli_leaf_curl_alphasatellite
Cleome leaf crumple alphasatellite,NC_014646,complete,-,-,1351,1,-,land plants,06/09/2010,08/13/2018,Alphasatellitidae,Cleome_leaf_crumple_alphasatellite
Coconut foliar decay alphasatellite 2,NC_055551,complete,isolate:CFDA2-[VU-89],-,1277,4,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Coconut_foliar_decay_alphasatellite_2
Coconut foliar decay alphasatellite 4,NC_055552,complete,isolate:CFDA4-[VU-89],-,1276,4,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Coconut_foliar_decay_alphasatellite_4
Coconut foliar decay alphasatellite 5,NC_055553,complete,isolate:CFDA5-[VU-89],-,1295,4,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Coconut_foliar_decay_alphasatellite_5
Coconut foliar decay alphasatellite 6,NC_040697,complete,isolate:CFDA6-[VU-88],-,1264,1,-,land plants,02/12/2019,09/12/2019,Alphasatellitidae,Coconut_foliar_decay_alphasatellite_6
Coconut foliar decay alphasatellite 7,NC_040812,complete,isolate:CFDA7-[VU-89],-,1259,2,-,land plants,02/12/2019,09/12/2019,Alphasatellitidae,Coconut_foliar_decay_alphasatellite_7
Cotton leaf curl Burewala alphasatellite,NC_013803,complete,-,-,1366,1,101,land plants,02/08/2010,08/13/2018,Alphasatellitidae,Cotton_leaf_curl_Burewala_alphasatellite
Cotton leaf curl Gezira alphasatellite,NC_013593,complete,isolate:BF:Kampala:Okra7,-,1387,1,18,land plants,11/29/2009,08/13/2018,Alphasatellitidae,Cotton_leaf_curl_Gezira_alphasatellite
Cotton leaf curl Lucknow alphasatellite,NC_015327,complete,isolate:Lucknow,-,1396,1,-,land plants,05/11/2011,08/13/2018,Alphasatellitidae,Cotton_leaf_curl_Lucknow_alphasatellite
Cotton leaf curl Multan alphasatellite,NC_018082,complete,-,-,1376,1,151,land plants,06/21/2012,08/13/2018,Alphasatellitidae,Cotton_leaf_curl_Multan_alphasatellite
Croton yellow vein mosaic alphasatellite,NC_013801,complete,-,-,1347,1,2,land plants,02/08/2010,08/13/2018,Alphasatellitidae,Croton_yellow_vein_mosaic_alphasatellite
Cuban alphasatellite 1,NC_021708,complete,isolate:1_1,-,1292,2,-,plants,07/02/2013,08/13/2018,Alphasatellitidae,Cuban_alphasatellite_1
Cucurbit yellow mosaic alphasatellite,NC_029907,complete,isolate:51SA,-,1335,2,-,land plants,04/20/2016,08/13/2018,Alphasatellitidae,Cucurbit_yellow_mosaic_alphasatellite
Dragonfly associated alphasatellite,NC_019498,complete,isolate:PR_NZ48_2009,-,1479,1,-,plants,11/21/2012,08/13/2018,Alphasatellitidae,Dragonfly_associated_alphasatellite
Euphorbia yellow mosaic virus associated DNA 1,NC_014630,complete,isolate:Brazil:Mato grosso do sul:1:2007,-,1331,1,11,land plants,06/09/2010,08/13/2018,Alphasatellitidae,Euphorbia_yellow_mosaic_virus_associated_DNA_1
Faba bean necrotic stunt alphasatellite 1,NC_023881,complete,isolate:Peshtatuek_12b,-,1001,1,4,land plants,04/03/2014,08/13/2018,Alphasatellitidae,Faba_bean_necrotic_stunt_alphasatellite_1
Faba bean necrotic stunt alphasatellite 2,NC_023880,complete,isolate:Peshtatuek_12b,-,995,1,4,land plants,04/03/2014,08/13/2018,Alphasatellitidae,Faba_bean_necrotic_stunt_alphasatellite_2
Faba bean necrotic yellows C1 alphasatellite,NC_024886,complete,isolate:SSV 292-88,-,1002,3,1,land plants,01/31/1995,08/13/2018,Alphasatellitidae,Faba_bean_necrotic_yellows_C1_alphasatellite
Faba bean necrotic yellows C7 alphasatellite,NC_003565,complete,isolate:Egyptian EV1-93,-,1015,1,1,land plants,06/02/1999,08/13/2018,Alphasatellitidae,Faba_bean_necrotic_yellows_C7_alphasatellite
Faba bean necrotic yellows C9 alphasatellite,NC_003567,complete,isolate:Egyptian EV1-93,-,1007,1,1,land plants,06/02/1999,08/13/2018,Alphasatellitidae,Faba_bean_necrotic_yellows_C9_alphasatellite
Faba bean necrotic yellows virus associated alphasatellite 1,NC_055480,complete,isolate:TN-Tuf9_1-2015,-,1005,1,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Faba_bean_necrotic_yellows_virus_associated_alphasatellite_1
Gossypium darwinii symptomless alphasatellite,NC_039232,complete,isolate:Dav-alpha-7c,-,1370,1,110,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Gossypium_darwinii_symptomless_alphasatellite
Gossypium davidsonii symptomless alphasatellite,NC_013011,complete,isolate:Must-alphaB-1B,-,1315,1,8,land plants,07/27/2009,08/13/2018,Alphasatellitidae,Gossypium_davidsonii_symptomless_alphasatellite
Gossypium mustelinum symptomless alphasatellite,NC_038954,complete,isolate:Mus-alphaB-2,-,1306,1,11,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Gossypium_mustelinum_symptomless_alphasatellite
Guar leaf curl alphasatellite,NC_020502,complete,isolate:Mohali,-,1364,1,45,land plants,03/25/2013,08/13/2018,Alphasatellitidae,Guar_leaf_curl_alphasatellite
Hibiscus leaf curl alphasatellite,NC_033273,complete,isolate:C22A1,-,1375,1,4,land plants,01/05/2017,08/13/2018,Alphasatellitidae,Hibiscus_leaf_curl_alphasatellite
Hollyhock yellow vein virus associated symptomless alphasatellite,NC_039084,complete,isolate:[Pakistan:17-5:06] Lahore2,-,1360,1,-,land plants,01/10/2012,08/24/2018,Alphasatellitidae,Hollyhock_yellow_vein_virus_associated_symptomless_alphasatellite
Malvastrum yellow mosaic Cameroon alphasatellite,NC_014907,complete,isolate:UMU1D1,-,1416,1,2,land plants,01/10/2011,08/13/2018,Alphasatellitidae,Malvastrum_yellow_mosaic_Cameroon_alphasatellite
Melon chlorotic mosaic alphasatellite,NC_014379,complete,isolate:2009-02-04-06,-,1334,2,35,land plants,08/10/2010,08/13/2018,Alphasatellitidae,Melon_chlorotic_mosaic_alphasatellite
Mesta yellow vein mosaic alphasatellite,NC_018573,complete,isolate:MeYVMVA[Okra:Ludhiana:2010],-,1358,1,6,land plants,09/10/2012,08/13/2018,Alphasatellitidae,Mesta_yellow_vein_mosaic_alphasatellite
Milk vetch dwarf C10 alphasatellite,NC_003647,complete,-,-,1022,1,6,land plants,10/27/1998,08/13/2018,Alphasatellitidae,Milk_vetch_dwarf_C10_alphasatellite
Milk vetch dwarf C2 alphasatellite,NC_003639,complete,-,-,1009,1,4,land plants,10/27/1998,08/13/2018,Alphasatellitidae,Milk_vetch_dwarf_C2_alphasatellite
Milk vetch dwarf C3 alphasatellite,NC_003640,complete,-,-,1000,1,6,land plants,10/27/1998,08/13/2018,Alphasatellitidae,Milk_vetch_dwarf_C3_alphasatellite
Mimosa yellow leaf curl virus-associated DNA 1,NC_009564,complete,-,-,1378,1,-,land plants,06/14/2007,08/13/2018,Alphasatellitidae,Mimosa_yellow_leaf_curl_virus-associated_DNA_1
Okra enation leaf curl alphasatellite,NC_019944,complete,-,-,1350,1,-,plants,12/18/2012,08/13/2018,Alphasatellitidae,Okra_enation_leaf_curl_alphasatellite
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09],NC_014906,complete,isolate:Lys1sp2,-,1356,1,4,land plants,01/10/2011,08/13/2018,Alphasatellitidae,Okra_yellow_crinkle_Cameroon_alphasatellite_CMLys1sp209
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp3:09],NC_038900,complete,isolate:Lys1sp3,-,1356,1,4,land plants,01/10/2011,08/24/2018,Alphasatellitidae,Okra_yellow_crinkle_Cameroon_alphasatellite_CMLys1sp309
Papaya leaf curl alphasatellite,NC_023292,complete,-,-,1364,1,6,land plants,01/05/2014,08/13/2018,Alphasatellitidae,Papaya_leaf_curl_alphasatellite
Parsley severe stunt alphasatellite 3,NC_055565,complete,isolate:PSSA3-Pa21,-,986,1,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Parsley_severe_stunt_alphasatellite_3
Parsley severe stunt alphasatellite 4,NC_055566,complete,isolate:PSSA4-Pa21,-,990,1,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Parsley_severe_stunt_alphasatellite_4
Parthenium leaf curl alphasatellite,NC_030226,complete,-,-,1386,1,1,land plants,04/12/2016,08/13/2018,Alphasatellitidae,Parthenium_leaf_curl_alphasatellite
Pea necrotic yellow dwarf alphasatellite 1,NC_038958,complete,isolate:Gross-Enzersdorf_1,-,1021,1,1,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Pea_necrotic_yellow_dwarf_alphasatellite_1
Pea necrotic yellow dwarf alphasatellite 3,NC_038959,complete,isolate:Gross-Enzersdorf_1,-,1000,1,5,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Pea_necrotic_yellow_dwarf_alphasatellite_3
Pedilanthus leaf curl alphasatellite,NC_033335,complete,-,-,1311,1,-,land plants,01/18/2017,08/13/2018,Alphasatellitidae,Pedilanthus_leaf_curl_alphasatellite
Sida leaf curl alphasatellite,NC_039240,complete,isolate:[Pakistan:17-5:06] Lahore4,-,1384,1,4,land plants,01/10/2012,08/24/2018,Alphasatellitidae,Sida_leaf_curl_alphasatellite
Sida yellow vein China alphasatellite,NC_023484,complete,-,-,1359,1,12,land plants,02/21/2014,08/13/2018,Alphasatellitidae,Sida_yellow_vein_China_alphasatellite
Sida yellow vein Vietnam alphasatellite,NC_009563,complete,-,-,1372,1,-,land plants,06/14/2007,08/13/2018,Alphasatellitidae,Sida_yellow_vein_Vietnam_alphasatellite
Sida yellow vein alphasatellite,NC_024372,complete,isolate:India:Okra:Hsp:2013,-,1374,1,2,land plants,06/23/2014,08/13/2018,Alphasatellitidae,Sida_yellow_vein_alphasatellite
Sida yellow vein mosaic alphasatellite,NC_028115,complete,isolate:WOK75,-,1387,1,1,land plants,10/30/2015,08/13/2018,Alphasatellitidae,Sida_yellow_vein_mosaic_alphasatellite
Sophora alopecuroides yellow stunt alphasatellite 1a,NC_038997,complete,isolate:Ta1,-,996,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Sophora_alopecuroides_yellow_stunt_alphasatellite_1a
Sophora alopecuroides yellow stunt alphasatellite 4,NC_038999,complete,isolate:Ta1,-,1009,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Sophora_alopecuroides_yellow_stunt_alphasatellite_4
Sophora alopecuroides yellow stunt alphasatellite 7a,NC_038998,complete,isolate:Ta1,-,1022,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Sophora_alopecuroides_yellow_stunt_alphasatellite_7a
Sophora alopecuroides yellow stunt alphasatellite 8,NC_038996,complete,isolate:Ta1,-,1010,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Sophora_alopecuroides_yellow_stunt_alphasatellite_8
Sophora alopecuroides yellow stunt alphasatellite 9,NC_039000,complete,isolate:Ta1,-,1003,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Sophora_alopecuroides_yellow_stunt_alphasatellite_9
Subterranean clover stunt C2 alphasatellite,NC_003814,complete,-,-,1022,1,-,land plants,11/27/1994,08/13/2018,Alphasatellitidae,Subterranean_clover_stunt_C2_alphasatellite
Subterranean clover stunt C6 alphasatellite,NC_003818,complete,isolate:F,-,1017,1,2,land plants,11/27/1994,08/13/2018,Alphasatellitidae,Subterranean_clover_stunt_C6_alphasatellite
Sunflower leaf curl Karnataka alphasatellite,NC_019499,complete,isolate:Karnataka,-,1350,1,2,land plants,11/21/2012,08/13/2018,Alphasatellitidae,Sunflower_leaf_curl_Karnataka_alphasatellite
Synedrella leaf curl alphasatellite,NC_025244,complete,isolate:Synd-1,-,1359,1,-,land plants,11/06/2014,08/13/2018,Alphasatellitidae,Synedrella_leaf_curl_alphasatellite
Tobacco curly shoot alphasatellite,NC_005057,complete,isolate:Y35,-,1367,1,21,land plants,07/30/2003,08/13/2018,Alphasatellitidae,Tobacco_curly_shoot_alphasatellite
Tobacco leaf curl PUSA alphasatellite,NC_014597,complete,-,-,1379,1,-,land plants,10/15/2010,08/13/2018,Alphasatellitidae,Tobacco_leaf_curl_PUSA_alphasatellite
Tomato leaf curl Anand alphasatellite,NC_055563,complete,isolate:Anand,-,1336,2,-,land plants,06/01/2021,06/08/2021,Alphasatellitidae,Tomato_leaf_curl_Anand_alphasatellite
Tomato leaf curl Cameroon alphasatellite,NC_014747,complete,isolate:SatA8,-,1392,1,3,land plants,12/01/2010,08/14/2018,Alphasatellitidae,Tomato_leaf_curl_Cameroon_alphasatellite
Tomato leaf curl Cameroon alphasatellite [CM:OMHD3:Ok:09],NC_038902,complete,isolate:OMHD3,-,1398,1,3,land plants,01/10/2011,08/24/2018,Alphasatellitidae,Tomato_leaf_curl_Cameroon_alphasatellite_CMOMHD3Ok09
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09],NC_038903,complete,isolate:TOS2D1,-,1401,1,3,land plants,01/10/2011,08/24/2018,Alphasatellitidae,Tomato_leaf_curl_Cameroon_alphasatellite_CMTOS2D1To09
Tomato leaf curl Pakistan alphasatellite,NC_012789,complete,-,-,1384,1,22,land plants,05/31/2009,08/13/2018,Alphasatellitidae,Tomato_leaf_curl_Pakistan_alphasatellite
Tomato leaf curl alphasatellite,NC_033274,complete,isolate:SA150,-,1369,1,22,land plants,01/05/2017,08/13/2018,Alphasatellitidae,Tomato_leaf_curl_alphasatellite
Tomato leaf curl Virudhunagar alphasatellite,NC_055478,complete,strain:severe,-,1361,2,-,land plants,06/01/2021,06/07/2021,Alphasatellitidae,Tomato_leaf_curl_Virudhunagar_alphasatellite
Tomato yellow leaf curl China alphasatellite,NC_043449,complete,-,-,1369,1,-,land plants,01/07/2010,06/28/2019,Alphasatellitidae,Tomato_yellow_leaf_curl_China_alphasatellite
Tomato yellow leaf curl Yunnan alphasatellite,NC_039229,complete,isolate:YN4368-69,-,1354,1,1,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Tomato_yellow_leaf_curl_Yunnan_alphasatellite
Tomato yellow spot alphasatellite,NC_038993,complete,isolate:BR:Dou1095.1:11,-,1367,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Tomato_yellow_spot_alphasatellite
Tomato yellow spot alphasatellite 2,NC_055597,complete,isolate:AR:Jujuy:Yuto:Leonurus417:2008,-,1350,1,-,land plants,06/01/2021,06/08/2021,Alphasatellitidae,Tomato_yellow_spot_alphasatellite_2
Verbesina encelioides leaf curl alphasatellite,NC_015631,complete,-,-,1395,-,-,land plants,06/13/2011,08/13/2018,Alphasatellitidae,Verbesina_encelioides_leaf_curl_alphasatellite
Vernonia yellow vein Fujian alphasatellite,NC_039233,complete,-,-,1361,1,2,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Vernonia_yellow_vein_Fujian_alphasatellite
Whitefly associated Guatemala alphasatellite 1,NC_038974,complete,isolate:GtTo2-2,-,1359,1,-,land plants,08/24/2018,09/07/2018,Alphasatellitidae,Whitefly_associated_Guatemala_alphasatellite_1
Whitefly associated Guatemala alphasatellite 2,NC_038973,complete,isolate:GtTo2-1,-,1370,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Whitefly_associated_Guatemala_alphasatellite_2
Whitefly associated Puerto Rico alphasatellite 1,NC_038975,complete,isolate:PR3-6,-,1300,1,-,land plants,08/24/2018,08/24/2018,Alphasatellitidae,Whitefly_associated_Puerto_Rico_alphasatellite_1
Apple hammerhead viroid-like circular RNA,NC_028132,complete,-,-,434,-,36,land plants,10/30/2015,08/13/2018,Avsunviroidae,Apple_hammerhead_viroid-like_circular_RNA
Avocado sunblotch viroid,NC_001410,complete,-,-,247,-,146,land plants,04/28/1993,08/13/2018,Avsunviroidae,Avocado_sunblotch_viroid
Chrysanthemum chlorotic mottle viroid,NC_003540,complete,isolate:Horst,-,399,-,201,land plants,11/30/1997,08/13/2018,Avsunviroidae,Chrysanthemum_chlorotic_mottle_viroid
Eggplant latent viroid,NC_039241,complete,isolate:2,-,333,-,102,land plants,04/13/2003,09/07/2018,Avsunviroidae,Eggplant_latent_viroid
Peach latent mosaic viroid,NC_003636,complete,-,-,337,-,7133,land plants,08/02/1993,08/13/2018,Avsunviroidae,Peach_latent_mosaic_viroid
Abutilon golden mosaic Yucatan virus,NC_038438,complete,isolate:Conkal-2007,-,2629,5,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Abutilon_golden_mosaic_Yucatan_virus
Ageratum Yellow vein China virus - OX1,NC_021202,complete,strain:OX1,-,2739,6,-,land plants,05/13/2013,08/13/2018,Monodnaviria,Ageratum_Yellow_vein_China_virus_-_OX1
Ageratum enation virus,NC_003434,complete,-,-,2746,6,37,land plants,03/04/2002,08/13/2018,Monodnaviria,Ageratum_enation_virus
Ageratum leaf curl Cameroon virus,NC_014645,complete,isolate:pBal,-,2792,6,2,land plants,11/02/2010,08/14/2018,Monodnaviria,Ageratum_leaf_curl_Cameroon_virus
Ageratum leaf curl Sichuan virus,NC_055492,complete,isolate:SC770,-,2749,6,1,land plants,06/01/2021,06/07/2021,Monodnaviria,Ageratum_leaf_curl_Sichuan_virus
Ageratum leaf curl virus - [G52],NC_006384,complete,isolate:G52,-,2735,6,1,land plants,10/22/2004,08/13/2018,Monodnaviria,Ageratum_leaf_curl_virus_-_G52
Ageratum yellow vein China virus - [Hn2],NC_004090,complete,isolate:Hn2,-,2768,6,33,land plants,07/30/2002,08/13/2018,Monodnaviria,Ageratum_yellow_vein_China_virus_-_Hn2
Ageratum yellow vein Hualian virus,NC_010812,complete,strain:Taiwan:Hsinchu:tom:2003; isolate:FHS7A2,-,2756,6,-,land plants,06/05/2008,08/13/2018,Monodnaviria,Ageratum_yellow_vein_Hualian_virus
Ageratum yellow vein Hualian virus-[Taiwan:Hualian4:2000],NC_038913,complete,isolate:A4-4,-,2753,6,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Ageratum_yellow_vein_Hualian_virus-TaiwanHualian42000
Ageratum yellow vein Taiwan virus,NC_004627,complete,-,-,2734,6,-,land plants,03/21/2003,08/13/2018,Monodnaviria,Ageratum_yellow_vein_Taiwan_virus
Alfalfa leaf curl virus,NC_027714,complete,isolate:44-1E,-,2745,7,130,land plants,08/18/2015,08/13/2018,Monodnaviria,Alfalfa_leaf_curl_virus
Allamanda leaf curl virus,NC_010947,complete,isolate:G10,-,2755,6,-,land plants,06/12/2008,08/13/2018,Monodnaviria,Allamanda_leaf_curl_virus
Alternanthera yellow vein virus,NC_007211,complete,isolate:G38,-,2745,6,22,land plants,07/21/2005,08/13/2018,Monodnaviria,Alternanthera_yellow_vein_virus
Andrographis yellow vein leaf curl virus,NC_028262,complete,isolate:A-64,-,2754,5,-,land plants,11/05/2015,08/13/2018,Monodnaviria,Andrographis_yellow_vein_leaf_curl_virus
Axonopus compressus streak virus,NC_023864,complete,isolate:ACSV_NG_g84_oba_2007,-,2858,4,-,land plants,03/31/2014,08/13/2018,Monodnaviria,Axonopus_compressus_streak_virus
Bean chlorotic mosaic virus,NC_022003,complete,isolate:Venezuela:Rubio 932:2007,-,2566,2,-,land plants,08/09/2013,08/13/2018,Monodnaviria,Bean_chlorotic_mosaic_virus
Bean white chlorosis mosaic virus,NC_022005,complete,isolate:Venezuela:Rubio 932:2007,-,2597,5,-,land plants,08/09/2013,08/13/2018,Monodnaviria,Bean_white_chlorosis_mosaic_virus
Bean yellow dwarf virus,NC_003493,complete,-,-,2561,4,-,land plants,07/28/1997,08/13/2018,Monodnaviria,Bean_yellow_dwarf_virus
Bean yellow mosaic Mexico virus,NC_015487,complete,strain:06.05.11,-,2641,4,-,land plants,05/06/2011,08/13/2018,Monodnaviria,Bean_yellow_mosaic_Mexico_virus
Beet curly top Iran virus,NC_010417,complete,strain:K; isolate:Kerman,-,2845,5,38,land plants,03/04/2008,08/13/2018,Monodnaviria,Beet_curly_top_Iran_virus
Beet curly top virus,NC_001412,complete,isolate:California [Logan],-,2994,6,113,land plants,04/28/1993,08/13/2018,Monodnaviria,Beet_curly_top_virus
Bhendi yellow vein Bhubhaneswar virus,NC_012041,complete,isolate:OYBHU,-,2757,7,-,land plants,02/05/2009,08/13/2018,Monodnaviria,Bhendi_yellow_vein_Bhubhaneswar_virus
Bhendi yellow vein Delhi virus [2004:New Delhi],NC_011919,complete,isolate:OY131,-,2751,7,-,land plants,01/22/2009,08/13/2018,Monodnaviria,Bhendi_yellow_vein_Delhi_virus_2004New_Delhi
Bhendi yellow vein Haryana virus [2003:Karnal],NC_043513,complete,isolate:OY76,-,2740,7,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Bhendi_yellow_vein_Haryana_virus_2003Karnal
Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006],NC_014845,complete,isolate:OYDWR2,-,2739,7,50,land plants,01/07/2011,08/13/2018,Monodnaviria,Bhendi_yellow_vein_India_virus_IndiaDharwad_OYDWR22006
Bhendi yellow vein mosaic virus,NC_003418,complete,isolate:Bhendi yellow vein mosaic virus-[Madurai],-,2741,7,76,land plants,04/13/2000,08/13/2018,Monodnaviria,Bhendi_yellow_vein_mosaic_virus
Blechum yellow vein virus,NC_055132,complete,isolate:W1,-,2764,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Blechum_yellow_vein_virus
Boerhavia yellow spot virus,NC_038439,complete,isolate:Yucatan,-,2621,4,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Boerhavia_yellow_spot_virus
Bromus catharticus striate mosaic virus,NC_014822,complete,isolate:AU QL 99,-,2797,4,-,land plants,12/28/2010,08/13/2018,Monodnaviria,Bromus_catharticus_striate_mosaic_virus
Camellia chlorotic dwarf-associated virus,NC_040817,complete,isolate:Ca-1,-,3687,6,1,land plants,02/12/2019,09/12/2019,Monodnaviria,Camellia_chlorotic_dwarf-associated_virus
Cassava associated gemycircularvirus 1,NC_023844,complete,isolate:G14,-,2220,2,1,land plants,03/28/2014,08/13/2018,Monodnaviria,Cassava_associated_gemycircularvirus_1
Catharanthus yellow mosaic virus,NC_025964,complete,isolate:DR-151,-,2752,6,2,land plants,12/16/2014,08/13/2018,Monodnaviria,Catharanthus_yellow_mosaic_virus
Centrosema yellow spot virus,NC_016998,complete,isolate:BR:Car1:09,-,2675,5,-,land plants,03/23/2012,08/13/2018,Monodnaviria,Centrosema_yellow_spot_virus
Chayote yellow mosaic virus,NC_004618,complete,-,-,2787,5,9,land plants,01/05/1998,08/13/2018,Monodnaviria,Chayote_yellow_mosaic_virus
Chenopodium leaf curl virus,NC_038440,complete,-,-,2626,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Chenopodium_leaf_curl_virus
Chickpea chlorosis Australia virus,NC_022131,complete,isolate:CpCV-D_AU_3494I_2002,-,2572,4,13,land plants,08/25/2013,08/13/2018,Monodnaviria,Chickpea_chlorosis_Australia_virus
Chickpea chlorosis virus-A,NC_014740,complete,isolate:3455C,-,2582,4,26,land plants,12/01/2010,08/13/2018,Monodnaviria,Chickpea_chlorosis_virus-A
Chickpea chlorotic dwarf virus,NC_011058,complete,-,-,2584,4,261,land plants,07/17/2008,08/13/2018,Monodnaviria,Chickpea_chlorotic_dwarf_virus
Chickpea redleaf virus,NC_014739,complete,isolate:Qld 22,-,2605,4,-,land plants,12/01/2010,08/13/2018,Monodnaviria,Chickpea_redleaf_virus
Chickpea redleaf virus 2,NC_055579,complete,isolate:5495,-,2588,4,-,land plants,06/01/2021,06/08/2021,Monodnaviria,Chickpea_redleaf_virus_2
Chickpea yellow dwarf virus,NC_025475,complete,isolate:CpYDV-PK_PK103_2012,-,2547,4,2,land plants,11/17/2014,08/13/2018,Monodnaviria,Chickpea_yellow_dwarf_virus
