## Tue Nov 12 22:27:18 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 10239 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
AcVB_gp4	651358.CAPSD_GVAIS	2.48e-62	199.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0039690,GO:0039694,GO:0043656,GO:0043657,GO:0044161,GO:0044162,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
FLA73_gp1	652106.PRO_5000146996	1.54e-186	595.0	4QB3Y@10239|Viruses,4R11R@439488|ssRNA viruses,4R0RB@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	helical viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
B5P29_gp2	12043.RDRP_TYYVF	0.0	1021.0	4QE5Y@10239|Viruses,4R11I@439488|ssRNA viruses,4R0RR@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA-directed RNA-polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
B5P29_gp3	12043.RDRP_TYYVF	1.54e-77	275.0	4QE5Y@10239|Viruses,4R11I@439488|ssRNA viruses,4R0RR@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA-directed RNA-polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
B5P29_gp4	12043.CAPSD_TYYVF	4.76e-47	172.0	4QEFC@10239|Viruses,4R13B@439488|ssRNA viruses,4R0R9@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	S	Luteovirus coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
B5P29_gp6	12046.MVP_PLRV1	3.02e-24	99.0	4QECR@10239|Viruses,4R14N@439488|ssRNA viruses,4R0SM@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	S	Luteovirus putative VPg genome linked protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CCY42_gp4	651358.CAPSD_GVAIS	7.44e-44	152.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0039690,GO:0039694,GO:0043656,GO:0043657,GO:0044161,GO:0044162,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AR669_gp1	291607.REP6_SCSVF	8.79e-58	194.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
F492_gp1	291607.REP6_SCSVF	2.79e-59	198.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AgEVgp3	66366.REN_TYLCI	5.37e-64	198.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AgEVgp4	10818.TRAP_CLVK	7.63e-55	175.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AgEVgp5	223353.Q6LDC7_TLCVA	5.07e-227	629.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AgEVgp6	49267.AC4_TPCTV	2.26e-31	112.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
None	11988.RDRP_TCV	9.03e-177	533.0	4QHMQ@10239|Viruses,4R133@439488|ssRNA viruses,4R0RY@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA dependent RNA polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
KM656_gp2	31600.CAPSD_ICMV	9.57e-152	430.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
KM656_gp3	31600.REN_ICMV	1.64e-58	184.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
KM656_gp4	66366.TRAP_TYLCI	8.32e-57	180.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
KM656_gp6	223353.AC4_TLCVA	3.67e-35	122.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
ALCVpAC3	66366.REN_TYLCI	1.08e-63	197.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
ALCVpAC2	223353.TRAP_TLCVA	7.26e-53	170.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
ALCVpAC4	223353.AC4_TLCVA	5.14e-46	150.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
BZL60_gp1	291607.REP6_SCSVF	2.49e-60	201.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
BB05_gp1	291607.REP6_SCSVF	4.43e-61	203.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AYVCvgp1	66366.AV2_TYLCI	2.04e-43	145.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVCvgp3	66366.REN_TYLCI	1.26e-62	194.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AYVCvgp4	223353.TRAP_TLCVA	1.58e-61	192.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVCvgp5	223353.Q6LDC7_TLCVA	5.52e-229	634.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AYVCvgp6	66366.AC4_TYLCI	5.25e-33	117.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
L677_gp2	223353.CAPSD_TLCVA	7.85e-151	427.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
L677_gp5	223353.Q6LDC7_TLCVA	1.89e-236	653.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AYVHV_gp1	66366.AV2_TYLCI	3.99e-62	192.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVHV_gp4	123735.TRAP_TYCSV	9.68e-56	177.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVHV_gp6	66366.AC4_TYLCI	1.92e-35	123.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
D1T32_gp6	223353.AC4_TLCVA	8.79e-42	139.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVVnDgp1	291607.REP6_SCSVF	3.69e-60	200.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AYVTvgp1	66366.AV2_TYLCI	3.42e-63	194.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
AYVTvgp6	268960.AC4_BCTVC	8.23e-13	65.1	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
ASN13_gp1	998864.A0A0F6T247_9RHAB	0.0	909.0	4QD1H@10239|Viruses,4R129@439488|ssRNA viruses,4R0TR@35301|ssRNA negative-strand viruses,4QP5X@11157|Mononegavirales	10239|Viruses	S	viral nucleocapsid	-	-	-	-	-	-	-	-	-	-	-	-	-
ASN13_gp5	998864.A0A0F6QG66_9RHAB	0.0	1162.0	4QF1G@10239|Viruses,4R16C@439488|ssRNA viruses,4R0TG@35301|ssRNA negative-strand viruses,4QP5J@11157|Mononegavirales	10239|Viruses	S	integral to membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
ASN13_gp7	998864.A0A0F6QEW5_9RHAB	0.0	4214.0	4QB8M@10239|Viruses,4R12Q@439488|ssRNA viruses,4R0V2@35301|ssRNA negative-strand viruses,4QP5T@11157|Mononegavirales	10239|Viruses	L	ATP binding	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019012,GO:0019013,GO:0019028,GO:0019058,GO:0019079,GO:0019080,GO:0019083,GO:0030430,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039689,GO:0039694,GO:0039696,GO:0039697,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0044423,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
A6774_gp2	693989.RDRP_PEMVW	0.0	1868.0	4QE5Y@10239|Viruses,4R11I@439488|ssRNA viruses,4R0RR@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA-directed RNA-polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
A6774_gp3	693989.P1_PEMVW	0.0	1036.0	4QEMN@10239|Viruses,4R10K@439488|ssRNA viruses,4R0QG@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	J	viral process	-	-	-	-	-	-	-	-	-	-	-	-	-
A6774_gp4	693989.MCAPS_PEMVW	6.12e-250	698.0	4QDVK@10239|Viruses,4R12A@439488|ssRNA viruses,4R0RV@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	S	Potato leaf roll virus readthrough protein	-	-	-	-	-	-	-	-	-	-	-	-	-
VG85_gp1	31722.PRO_0000431911	1.37e-228	689.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
VG85_gp3	12185.TGB2_PVXX3	1.36e-19	84.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
VG85_gp5	12185.CAPSD_PVXX3	1.1e-39	145.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AL349_gp5	57119.REP_BEYDV	1.71e-85	268.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AL349_gp6	268776.REPA_MISV9	7.05e-32	124.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
EXJ18_gp1	652669.PRO_0000402497	0.0	1632.0	4QBWT@10239|Viruses,4R11N@439488|ssRNA viruses,4R0S0@35278|ssRNA positive-strand viruses  no DNA stage,4R1MJ@675063|Tymovirales	10239|Viruses	A	T=3 icosahedral viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
CCL40_gp1	31770.RDRP_SHVX	0.0	1843.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
CCL40_gp2	31770.TGB1_SHVX	7.75e-56	185.0	4QB58@10239|Viruses,4R110@439488|ssRNA viruses,4R0QV@35278|ssRNA positive-strand viruses  no DNA stage,4R1MM@675063|Tymovirales	10239|Viruses	A	host cell cytoplasm	-	GO:0005575,GO:0018995,GO:0020002,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044156,GO:0044196,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279	-	-	-	-	-	-	-	-	-	-	-
CCL40_gp3	31770.TGB2_SHVX	4.38e-27	102.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
CCL40_gp6	31770.CAPSD_SHVX	3.26e-64	209.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp1	66366.AV2_TYLCI	3.42e-63	194.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp2	223353.CAPSD_TLCVA	2.69e-158	446.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp3	223353.REN_TLCVA	8.89e-63	195.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp4	223353.TRAP_TLCVA	3.13e-56	178.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp5	223353.Q6LDC7_TLCVA	1.14e-226	628.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
AlLCV_gp6	49267.AC4_TPCTV	6.48e-31	110.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
AlVX_gp1	12181.RDRP_PMV	0.0	1338.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
